id,name,now_cost,position,team,expected_assists_per_90,goals_conceded_per_90,points_per_game_rank_type,expected_goals,now_cost_rank,web_name,yellow_cards,transfers_in,selected_by_percent,starts,creativity,cost_change_start_fall,bps,penalties_saved,assists,minutes,penalties_order,ict_index_rank,points_per_game,expected_goals_per_90,ep_this,ep_next,bonus,ict_index,cost_change_event,expected_goals_conceded_per_90,region,total_points,selected_rank,dreamteam_count,form_rank,expected_assists,expected_goal_involvements_per_90,event_points,team_join_date,form_rank_type,influence_rank,saves_per_90,ict_index_rank_type,creativity_rank_type,starts_per_90,threat_rank_type,creativity_rank,transfers_out,value_season,influence_rank_type,chance_of_playing_this_round,can_select,chance_of_playing_next_round,expected_goal_involvements,clean_sheets_per_90,threat,selected_rank_type,penalties_missed,value_form,cost_change_start,in_dreamteam,news,direct_freekicks_order,news_added,goals_scored,threat_rank,red_cards,goals_conceded,corners_and_indirect_freekicks_order,cost_change_event_fall,influence,clean_sheets,own_goals,points_per_game_rank,transfers_in_event,saves,transfers_out_event,status,now_cost_rank_type,form,expected_goals_conceded
1,Fábio Ferreira Vieira,54,MID,Arsenal,0.0,0.0,315,0.00,130,Fábio Vieira,0,439,0.0,0,0.0,1,0,0,0,0,,700,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,0,648,0,691,0.00,0.0,0,,310,700,0.0,315,314,0.0,313,698,2784,0.0,315,0.0,False,0.0,0.00,0.0,0.0,283,0,0.0,-1,False,Has joined Portuguese side FC Porto on loan for the 2024/25 season,,2024-08-29T11:06:25.241953Z,0,697,0,0,,0,0.0,0,0,700,0,0,5,u,77,0.0,0.00
2,Gabriel Fernando de Jesus,69,FWD,Arsenal,0.07,0.71,26,2.59,29,G.Jesus,4,1061289,8.4,5,92.4,1,151,0,2,510,,185,2.5,0.46,5.8,5.8,6,45.7,1,0.76,30.0,40,42,2,23,0.39,0.53,12,2022-07-04,4,248,0.0,26,26,0.88,26,215,408433,5.8,26,100.0,True,100.0,2.98,0.35,221.0,11,0,0.8,-1,False,,,2024-08-25T11:00:05.312580Z,3,77,0,4,,-1,146.8,2,0,191,233548,0,66908,a,14,5.3,4.30
3,Gabriel dos Santos Magalhães,64,DEF,Arsenal,0.06,0.93,2,2.42,50,Gabriel,2,3784313,29.0,17,130.0,-4,290,0,2,1448,,75,4.8,0.15,4.0,4.0,7,78.4,1,0.91,30.0,81,9,2,78,0.91,0.21,2,2020-09-01,23,40,0.0,11,37,1.06,3,168,2191558,12.7,13,100.0,True,100.0,3.33,0.37,251.0,2,0,0.5,4,True,,,2024-11-27T10:30:06.325759Z,3,62,0,15,,-1,402.4,6,0,20,120974,0,67701,a,3,3.5,14.63
4,Kai Havertz,79,FWD,Arsenal,0.08,0.97,11,7.77,13,Havertz,3,2415767,9.6,17,220.2,1,283,0,2,1480,3.0,22,4.4,0.47,4.2,3.2,10,115.2,0,0.95,80.0,74,37,1,73,1.34,0.55,0,2023-06-28,11,53,0.0,6,7,1.03,5,98,2924338,9.4,7,100.0,True,75.0,9.11,0.36,559.0,8,0,0.5,-1,False,Illness - 75% chance of playing,,2025-01-02T08:00:08.350130Z,7,12,0,16,,0,372.2,6,0,39,34459,0,108625,d,5,3.7,15.63
5,Karl Hein,40,GKP,Arsenal,0.0,0.0,61,0.00,636,Hein,0,0,0.0,0,0.0,0,0,0,0,0,,526,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,0,566,0,461,0.00,0.0,0,,56,526,0.0,61,42,0.0,29,506,4279,0.0,61,0.0,False,0.0,0.00,0.0,0.0,68,0,0.0,0,False,Loaned to Real Valladolid,,2024-08-14T08:31:46.556082Z,0,470,0,0,,0,0.0,0,0,532,0,0,53,u,59,0.0,0.00
6,Jurriën Timber,57,DEF,Arsenal,0.06,0.77,15,0.71,93,J.Timber,5,1145336,6.9,16,208.3,-2,235,0,1,1395,,121,3.8,0.05,6.0,0.0,5,61.2,0,0.78,152.0,64,57,2,21,0.94,0.11,1,2023-07-14,7,159,0.0,27,22,1.03,9,105,527597,11.2,59,100.0,True,0.0,1.65,0.39,170.0,19,0,1.0,2,False,Suspended until 15 Jan,,2025-01-02T07:30:07.976090Z,1,111,0,12,,0,236.0,6,0,63,34974,0,151084,s,9,5.5,12.14
7,Jorge Luiz Frello Filho,47,MID,Arsenal,0.07,0.92,179,0.04,323,Jorginho,3,26246,0.2,5,50.1,3,66,0,0,393,,375,1.2,0.01,1.3,1.3,0,8.5,0,0.67,106.0,11,333,0,299,0.31,0.08,1,2023-01-31,148,391,0.0,183,174,1.15,215,286,42671,2.3,180,,True,,0.35,0.23,3.0,106,0,0.2,-3,False,,,,0,401,0,4,,0,31.4,1,0,374,638,0,899,a,209,0.8,2.92
8,Jakub Kiwior,48,DEF,Arsenal,0.01,1.39,110,0.00,312,Kiwior,0,23949,0.2,2,13.7,2,39,0,0,323,,395,1.6,0.0,1.8,1.8,0,6.3,0,1.24,172.0,13,365,0,229,0.03,0.01,0,2023-01-23,75,363,0.0,131,128,0.56,237,375,31708,2.7,127,,True,,0.03,0.28,0.0,129,0,0.3,-2,False,,,,0,658,0,5,,0,49.2,1,0,324,391,0,1303,a,37,1.3,4.45
9,Gabriel Martinelli Silva,68,MID,Arsenal,0.22,0.88,21,3.36,34,Martinelli,1,963574,4.7,13,300.3,2,234,0,2,1121,,29,4.2,0.27,4.7,4.7,6,106.0,0,0.88,30.0,72,83,1,54,2.68,0.49,9,2019-07-15,27,90,0.0,21,47,1.04,13,60,797681,10.6,30,100.0,True,100.0,6.04,0.48,440.0,27,0,0.6,-2,False,,,2024-10-18T16:00:06.884775Z,5,24,0,11,,0,320.4,6,0,48,82248,0,27313,a,17,4.2,10.91
12,Ethan Nwaneri,45,MID,Arsenal,0.19,0.49,152,0.23,425,Nwaneri,0,91653,0.5,1,65.5,0,62,0,0,185,,322,1.5,0.11,1.3,1.3,0,18.1,0,0.51,241.0,17,260,0,295,0.39,0.3,2,2022-09-17,144,348,0.0,159,160,0.49,141,256,67894,3.8,164,,True,,0.62,0.0,52.0,81,0,0.2,0,False,,,,1,255,0,1,,0,63.0,0,0,333,11024,0,3848,a,258,0.8,1.04
